School Name,Location
Montana State University,"Bozeman, MT"
New Jersey Institute of Technology,"Newark, NJ"
New York Institute of Technology,"Old Westbury, NY"
New York University,"New York, NY"
Newberry College,"Newberry, SC"
North Carolina State University,"Raleigh, NC"
Northeastern University,"Boston, MA"
Northern Kentucky University,"Highland Heights, KY"
Northwestern University,"Evanston, IL"
Oberlin College,"Oberlin, OH"
Occidental College,"Los Angeles, CA"
Ohio State University,"Columbus, OH"
Ohio University,"Athens, OH"
Olin College of Engineering,"Needham, MA"
Oregon State University,"Corvallis, OR"
Penn State,"University Park, PA"
Plymouth State University,"Plymouth, NH"
Point Loma Nazarene University,"San Diego, CA"
Pomona College,"Claremont, CA"
Portland State University,"Portland, OR"
Princeton University,"Princeton, NJ"
Purdue University,"West Lafayette, IN"
Purdue University—Northwest,"Hammond, IN"
Rensselaer Polytechnic Institute,"Troy, NY"
Rice University,"Houston, TX"
Rhodes College,"Memphis, TN"
Rutgers University—Camden,"Camden, NJ"
Rutgers—New Brunswick,"Piscataway, NJ"
Rutgers University—Newark,"Newark, NJ"
Saint Anselm College,"Manchester, NH"
Saint Louis University,"St. Louis, MO"
St. Mary's University,"San Antonio, TX"
St. Norbert College,"De Pere, WI"
St. Thomas Aquinas College,"Sparkill, NY"
St. Thomas University,"Miami Gardens, FL"
Saint Vincent College,"Latrobe, PA"
Savannah College of Arts and Design,"Savannah, GA"
Santa Clara University,"Santa Clara, CA"
Scripps College,"Claremont, CA"
Seattle University,"Seattle, WA"
Simmons University,"Boston, MA"
Soka University of America,"Aliso Viejo, CA"
Southern Methodist University,"Dallas, TX"
Southern Oregon University,"Ashland, OR"
Southwest Baptist University,"Bolivar, MO"
Stanford University,"Stanford, CA"
Stevens Institute of Technology,"Hoboken, NJ"
University at Buffalo (SUNY),"Buffalo, NY"
Stony Brook University (SUNY),"Stony Brook, NY"
Swarthmore College,"Swarthmore, PA"
Syracuse University,"Syracuse, NY"
Tarleton State University,"Stephenville, TX"
Texas A&M University,"College Station, TX"
Texas A&M University—Corpus Christi,"Corpus Christi, TX"
Texas Christian University,"Fort Worth, TX"
Texas State University,"San Marcos, TX"
Thiel College,"Greenville, PA"
Trinity University,"San Antonio, TX"
Tufts University,"Medford, MA"
Tulane University,"New Orleans, LA"
University of Akron,"Akron, OH"
University of Alaska Fairbanks,"Fairbanks, AK"
"University of California, Berkeley","Berkeley, CA"
"University of California, Davis","Davis, CA"
"University of California, Irvine","Irvine, CA"
"University of California, Los Angeles","Los Angeles, CA"
"University of California, Merced","Merced, CA"
"University of California, Riverside","Riverside, CA"
"University of California, San Diego","San Diego, CA"
"University of California, Santa Barbara","Santa Barbara, CA"
"University of California, Santa Cruz","Santa Cruz, CA"
University of Colorado—Colorado Springs,"Colorado Springs, CO"
University of the Cumberlands,"Williamsburg, KY"
University of Dayton,"Dayton, OH"
University of Delaware,"Newark, DE"
University of Hawai'i—Manoa,"Honolulu, HI"
University of Houston—Main Campus,"Houston, TX"
University of Houston—Clear Lake,"Houston, TX"
University of Houston—Downtown,"Houston, TX"
University of Houston—Victoria,"Victoria, TX"
University of Illinois—Chicago,"Chicago, IL"
University of the Incarnate Word,"San Antonio, TX"
University of Indianapolis,"Indianapolis, IN"
University of Maine,"Orono, ME"
University of Massachusetts Amherst,"Amherst, MA"
University of Miami,"Miami, FL"
University of Michigan,"Ann Arbor, MI"
University of Minnesota—Twin Cities,"Minneapolis, MN"
University of Montana,"Missoula, MT"
University of Montana Western,"Dillon, MT"
University of Mount Union,"Alliance, OH"
University of Nevada–Las Vegas,"Las Vegas, NV"
University of Nevada–Reno,"Reno, NV"
University of New England,"Biddeford, ME"
University of North Carolina—Chapel Hill,"Chapel Hill, NC"
University of North Dakota–Grand Forks,"Grand Forks, ND"
University of North Texas,"Denton, TX"
University of Notre Dame,"Notre Dame, IN"
University of Oregon,"Eugene, OR"
University of Pennsylvania,"Philadelphia, PA"
University of Pittsburgh-Bradford,"Bradford, PA"
University of Pittsburgh-Greensburg,"Greensburg, PA"
University of Pittsburgh-Johnstown,"Johnstown, PA"
University of Pittsburgh-Titusville,"Titusville, PA"
University of Richmond,"Richmond, VA"
University of Southern California,"Los Angeles, CA"
University of Texas at Arlington,"Arlington, TX"
University of Texas at Austin,"Austin, TX"
University of Texas at Dallas,"Dallas, TX"
University of Texas at Permian Basin,"Odessa, TX"
University of Texas at San Antonio,"San Antonio, TX"
University of Texas at Tyler,"Tyler, TX"
University of Tulsa,"Tulsa, OK"
University of Virginia,"Charlottesville, VA"
University of Virginia–Wise,"Wise, VA"
University of Washington,"Seattle, WA"
University of Washington Bothell,"Bothell, WA"
Valparaiso University,"Valparaiso, IN"
Vanderbilt University,"Nashville, TN"
Vassar College,"Poughkeepsie, NY"
Villanova University,"Villanova, PA"
Virginia Tech University,"Blacksburg, VA"
Wabash College,"Crawfordsville, IN"
Washington and Lee University,"Lexington, VA"
Washington State University Vancouver,"Vancouver, WA"
Washington University in St. Louis,"St. Louis, MO"
Wayne State University,"Detroit, MI"
Webb Institute,"Glen Cove, NY"
Wellesley College,"Wellesley, MA"
Western Michigan University,"Kalamazoo, MI"
Westminster College,"Salt Lake City, UT"
West Virginia State University,"Institute, WV"
West Virginia University,"Morgantown, WV"
Williams College,"Williamstown, MA"
Winthrop University,"Rock Hill, SC"
Yale University,"New Haven, CT"
Yeshiva University,"New York, NY"
York College of Pennsylvania,"York, PA"
