,id,lot_front,lot_area,overall_qual,age,remod_age,exter_qual,bsmt_qual,heating_qc,total_bsmt_sf,1st_flr_sf,gr_liv_area,kitchen_qual,garage_finish,fireplace_qu,total_bsmt_sf_class,neighborhood_class,gr_liv_area_class,sale_price,garage_area,bsmtfin_sf1,tot_rms_abv_grd
50,2511,69.05520046484602,2998,6,6,6,4,4,5,756.0,768,1524,4,1,0,0,0,0,166000.0,440.0,353.0,4
51,912,65.0,7804,4,81,59,3,3,3,1122.0,1328,1981,4,1,3,0,0,0,135000.0,576.0,622.0,7
52,2351,80.0,16692,7,28,28,3,4,3,1392.0,1392,2784,4,2,3,0,0,1,250000.0,564.0,790.0,12
53,330,21.0,1476,4,40,40,3,3,5,546.0,546,1092,3,0,0,0,0,0,76000.0,0.0,176.0,5
54,2586,75.0,10170,6,55,55,3,3,3,216.0,1575,1575,4,1,4,0,0,0,155000.0,400.0,0.0,5
55,224,80.0,9364,6,41,41,3,3,3,663.0,663,1352,3,3,0,0,0,0,158000.0,299.0,371.0,7
56,98,24.0,2544,7,6,5,4,4,5,600.0,600,1200,4,2,0,0,0,0,149500.0,480.0,368.0,4
57,2565,82.0,9888,5,52,31,3,3,3,936.0,936,936,3,1,0,0,0,0,121000.0,240.0,486.0,5
58,1934,68.0,7942,6,54,54,3,3,3,1040.0,1040,1040,3,3,0,0,0,0,136000.0,293.0,85.0,6
59,997,69.05520046484602,15038,6,12,12,3,4,4,916.0,916,1636,3,3,3,0,0,0,173000.0,386.0,138.0,7
60,64,92.0,11764,8,11,3,4,4,5,1152.0,1164,2270,4,3,4,0,1,0,290000.0,671.0,524.0,9
61,1799,75.0,9000,8,0,0,4,4,5,1184.0,1184,2610,5,3,4,0,0,1,303477.0,550.0,64.0,11
62,230,69.05520046484602,20062,7,33,9,4,4,4,1420.0,1483,1483,3,2,3,0,0,0,270000.0,690.0,1092.0,4
63,1295,81.0,7308,5,88,58,2,3,4,936.0,960,1740,5,1,4,0,0,0,122250.0,225.0,360.0,6
64,638,70.0,8750,5,54,54,3,3,4,1382.0,1382,1382,4,1,0,0,0,0,153000.0,350.0,172.0,6
65,2278,70.0,8402,5,0,0,3,4,5,1120.0,1120,1120,3,0,0,0,0,0,147000.0,0.0,206.0,6
66,2202,63.0,4000,7,77,12,3,4,3,531.0,567,1098,3,1,4,0,0,0,148500.0,216.0,246.0,5
67,2833,32.0,3363,7,2,2,4,4,5,976.0,976,1708,4,1,0,0,0,0,130000.0,380.0,0.0,7
68,1707,94.0,13615,9,1,1,5,5,5,1802.0,1802,1802,5,3,4,1,1,0,372000.0,843.0,0.0,7
69,2428,43.0,3013,7,1,1,4,4,5,1362.0,1506,1506,4,3,4,0,0,0,213490.0,440.0,16.0,6
70,242,44.0,17485,7,1,0,4,4,5,1508.0,1508,1508,4,2,3,0,0,0,308030.0,572.0,1346.0,5
71,1564,69.05520046484602,23730,7,12,11,4,5,5,1840.0,2032,2032,4,3,0,1,0,0,300000.0,786.0,700.0,7
72,2613,79.0,8910,6,47,47,3,3,5,655.0,1194,1194,3,3,2,0,0,0,159500.0,539.0,655.0,6
73,2832,24.0,2522,7,2,2,4,4,5,970.0,970,1709,4,1,0,0,0,0,137500.0,380.0,0.0,7
74,2459,73.0,8688,7,1,1,4,4,5,1616.0,1616,1616,4,2,0,0,0,0,232000.0,834.0,0.0,7
75,1360,69.05520046484602,6291,6,78,58,4,3,3,768.0,768,768,3,1,0,0,0,0,93850.0,440.0,0.0,4
76,2723,69.05520046484602,17529,5,82,56,3,3,2,872.0,872,872,2,1,4,0,0,0,105000.0,322.0,0.0,5
77,1350,60.0,6324,4,81,58,3,3,2,520.0,520,520,2,1,0,0,0,0,68500.0,240.0,0.0,4
78,136,80.0,11600,5,50,50,3,3,3,1105.0,1105,2274,3,1,0,0,0,0,154300.0,480.0,443.0,12
79,2235,50.0,7288,5,82,4,4,3,5,936.0,936,1601,3,0,0,0,0,0,129850.0,0.0,0.0,6
80,1993,35.0,4571,5,97,57,3,3,5,616.0,616,1232,3,1,0,0,0,0,114000.0,480.0,168.0,6
81,367,63.0,17423,9,1,0,5,5,5,2216.0,2234,2234,5,3,4,1,1,0,501837.0,1166.0,1904.0,9
82,1309,100.0,12665,5,93,58,3,3,4,876.0,876,1416,3,1,4,0,0,0,153900.0,720.0,0.0,7
83,402,60.0,9000,4,38,3,3,3,4,864.0,864,864,3,1,0,0,0,0,130000.0,576.0,240.0,5
84,1592,32.0,4500,6,11,11,3,5,5,1189.0,1189,1189,3,2,0,0,0,0,160500.0,392.0,864.0,4
85,2409,48.0,6373,9,0,0,5,5,5,1666.0,1666,1666,4,2,4,0,1,0,310090.0,575.0,415.0,6
86,539,67.0,10083,7,6,6,4,4,5,1176.0,1200,1200,4,2,0,0,0,0,184900.0,555.0,833.0,5
87,1940,70.0,13300,5,51,7,3,4,3,928.0,928,928,3,1,0,0,0,0,132000.0,252.0,377.0,4
88,588,80.0,9600,5,40,40,3,4,3,1288.0,1336,1336,3,2,2,0,0,0,163000.0,502.0,553.0,6
89,96,30.0,3215,7,6,6,4,4,5,600.0,600,1200,4,2,0,0,0,0,155000.0,480.0,280.0,4
90,1187,69.05520046484602,11104,6,39,39,3,3,4,1427.0,1427,1427,3,2,0,0,0,0,183000.0,516.0,828.0,7
91,2154,69.05520046484602,15295,7,11,5,4,4,5,860.0,1212,1992,4,2,3,0,0,0,211000.0,608.0,762.0,7
92,550,70.0,9109,7,15,15,4,4,5,754.0,754,1540,4,2,0,0,0,0,184000.0,495.0,36.0,6
93,811,64.0,7018,5,30,30,3,0,3,0.0,1535,1535,3,1,0,0,0,0,118858.0,400.0,0.0,8
94,124,69.05520046484602,14112,5,46,46,3,3,3,1152.0,1152,1152,3,2,4,0,0,0,180500.0,484.0,1014.0,6
95,1836,80.0,3523,8,1,0,4,4,5,1141.0,1151,1151,4,3,0,0,0,0,166000.0,484.0,60.0,5
96,779,88.0,15312,6,49,49,3,3,5,1138.0,1138,1138,3,2,3,0,0,0,148000.0,480.0,588.0,6
97,1886,74.0,7450,5,51,51,3,3,4,894.0,1074,1074,4,1,4,0,0,0,124000.0,396.0,438.0,6
98,1724,60.0,7313,9,2,2,5,5,5,1561.0,1561,1561,5,3,4,0,1,0,277500.0,556.0,1153.0,6
99,2450,83.0,10019,8,11,11,4,4,5,1342.0,1358,2726,4,2,5,0,1,1,350000.0,725.0,527.0,9
100,1013,53.0,15401,9,4,4,5,5,5,1884.0,1884,1884,5,3,4,1,1,0,387000.0,670.0,1337.0,7
101,2084,58.0,9098,4,87,5,3,3,5,528.0,605,605,3,0,0,0,0,0,86000.0,0.0,348.0,5
102,1184,103.0,16280,8,32,1,5,4,5,1426.0,1671,1671,5,2,4,0,0,0,290000.0,550.0,1044.0,6
103,728,72.0,9392,3,109,59,3,2,3,245.0,797,797,3,0,0,0,0,0,44000.0,0.0,0.0,5
104,950,71.0,12209,6,8,7,3,5,5,804.0,804,1961,4,3,3,0,0,0,215000.0,560.0,690.0,7
105,2524,79.0,13110,5,34,34,3,4,5,1153.0,1193,1193,3,3,0,0,0,0,146500.0,501.0,962.0,6
106,2513,69.05520046484602,2651,7,6,6,4,4,5,673.0,673,1382,4,1,0,0,0,0,165000.0,490.0,641.0,6
107,2028,60.0,8520,6,91,57,3,3,3,714.0,1664,2526,4,1,4,0,0,0,136000.0,216.0,168.0,10
108,2309,69.05520046484602,39384,6,49,49,3,4,5,1705.0,1390,1390,5,1,4,1,0,0,252000.0,550.0,1110.0,4
109,51,36.0,2628,7,7,7,4,4,5,764.0,764,1626,4,2,0,0,1,0,175500.0,474.0,0.0,6
110,699,57.0,6406,5,70,59,3,3,3,690.0,868,1558,3,1,4,0,0,0,150000.0,400.0,421.0,7
111,1881,69.05520046484602,12342,5,47,29,3,3,3,978.0,1422,1422,3,2,3,0,0,0,139900.0,286.0,0.0,6
112,1345,52.0,6240,5,78,16,3,3,3,1078.0,1128,1573,3,1,4,0,0,0,162900.0,360.0,0.0,8
113,166,87.0,10000,6,48,48,3,3,3,1116.0,1116,1116,3,1,0,0,0,0,160000.0,440.0,0.0,5
114,781,69.05520046484602,9000,2,62,59,3,0,2,0.0,660,660,2,0,0,0,0,0,63900.0,0.0,0.0,5
115,379,80.0,11088,6,31,11,3,3,4,1140.0,1707,1707,3,3,3,0,0,0,184000.0,479.0,832.0,7
116,2818,134.0,17755,5,47,47,3,3,3,1466.0,1466,1466,2,3,4,0,0,0,149900.0,528.0,176.0,6
117,1168,69.05520046484602,4765,9,8,8,4,4,5,1614.0,1638,1638,5,3,3,0,0,0,300000.0,495.0,1027.0,5
118,1396,69.05520046484602,10532,5,48,48,3,3,4,988.0,1721,1721,3,1,3,0,0,0,145000.0,626.0,988.0,7
119,838,65.0,15426,6,12,12,3,4,5,928.0,928,1764,4,2,0,0,0,0,231500.0,470.0,821.0,7
120,1492,63.0,13907,5,68,39,3,3,5,996.0,996,996,3,0,4,0,0,0,108000.0,0.0,290.0,6
121,637,70.0,8750,5,53,53,3,3,3,1202.0,1202,1202,3,2,0,0,0,0,120000.0,304.0,435.0,6
122,1826,69.05520046484602,9945,5,46,46,3,3,3,988.0,988,988,3,1,0,0,0,0,128500.0,572.0,827.0,5
123,173,56.0,8960,5,83,60,3,3,4,1008.0,1028,1028,3,1,4,0,0,0,115000.0,360.0,0.0,5
124,715,50.0,3500,5,62,59,3,3,3,720.0,720,1284,3,1,0,0,0,0,110000.0,240.0,312.0,5
125,1183,69.05520046484602,24572,9,31,31,4,4,3,994.0,1599,2944,4,2,4,0,0,1,150000.0,864.0,410.0,9
126,2433,74.0,9056,8,2,2,4,5,5,707.0,707,1414,4,3,4,0,0,0,178000.0,403.0,0.0,6
127,2866,70.0,12320,7,74,16,3,3,5,637.0,959,1609,4,1,4,0,0,0,199500.0,579.0,0.0,8
128,2311,60.0,8238,6,9,8,3,3,5,813.0,813,1525,3,3,3,0,0,0,183500.0,400.0,700.0,6
129,1551,75.0,6000,5,41,41,2,4,5,624.0,1092,1656,3,1,1,0,0,0,126000.0,288.0,257.0,7
130,1049,24.0,2529,7,31,31,3,4,2,1055.0,1055,1055,3,1,0,0,0,0,148500.0,440.0,378.0,4
131,657,60.0,10800,5,70,3,3,3,5,676.0,676,1352,4,1,0,0,0,0,149000.0,720.0,0.0,7
132,414,24.0,2349,6,32,32,3,4,3,855.0,855,1456,3,1,3,0,0,0,137900.0,440.0,389.0,6
133,1181,32.0,10846,8,15,15,4,4,5,1719.0,1719,1719,4,3,4,1,0,0,324000.0,473.0,1619.0,6
134,1514,67.0,5604,5,83,58,3,3,3,864.0,864,864,3,0,0,0,0,0,98000.0,0.0,468.0,5
135,1040,21.0,1680,6,35,35,3,3,3,483.0,483,987,3,1,0,0,0,0,103400.0,264.0,458.0,5
136,216,54.0,6342,5,135,14,3,3,4,780.0,780,1020,3,0,0,0,0,0,94000.0,0.0,0.0,6
137,1720,34.0,4590,8,1,1,4,4,5,1554.0,1554,1554,4,2,4,0,1,0,209500.0,627.0,24.0,6
138,2331,60.0,18062,10,0,0,5,5,5,1528.0,1528,3390,5,3,5,0,1,1,545224.0,758.0,0.0,10
139,204,60.0,12900,6,98,1,4,3,5,780.0,780,1560,4,0,0,0,0,0,159900.0,0.0,0.0,7
140,19,140.0,19138,4,59,59,3,3,5,864.0,864,864,3,1,0,0,0,0,141000.0,400.0,120.0,4
141,2438,69.05520046484602,8658,6,6,6,3,4,5,982.0,1008,1889,3,3,3,0,0,0,215000.0,431.0,732.0,9
142,89,69.05520046484602,6897,5,48,0,3,3,5,1040.0,1040,1040,3,1,0,0,0,0,127000.0,260.0,659.0,6
143,240,75.0,9525,5,56,12,3,3,3,1172.0,1172,1172,3,3,0,0,0,0,128000.0,366.0,954.0,5
144,105,57.0,12853,8,0,0,4,5,5,1642.0,1418,1418,4,2,4,0,0,0,267916.0,852.0,1032.0,6
145,2020,52.0,6240,6,76,57,3,3,3,884.0,959,1367,3,1,4,0,0,0,127500.0,560.0,425.0,6
146,888,64.0,7301,7,6,6,4,0,5,0.0,495,1922,4,2,5,0,0,0,198500.0,672.0,0.0,7
147,1019,78.0,12090,6,27,27,3,4,3,1422.0,1422,1422,4,3,3,0,0,0,175500.0,576.0,588.0,7
148,2132,69.05520046484602,8826,7,7,7,4,4,5,985.0,985,1842,4,3,3,0,0,0,217500.0,486.0,841.0,7
149,203,57.0,8094,4,95,60,3,3,5,888.0,888,1962,3,1,3,0,0,0,149500.0,572.0,0.0,9
150,420,69.05520046484602,10710,5,43,5,4,3,5,864.0,1120,1120,3,2,3,0,0,0,148800.0,656.0,644.0,5
151,2333,85.0,16056,9,1,0,4,5,5,1992.0,1992,2868,5,3,4,1,1,1,556581.0,716.0,240.0,11
152,632,70.0,8400,6,52,52,3,3,4,1478.0,1478,1478,3,2,4,0,0,0,156500.0,442.0,189.0,6
153,2800,90.0,11250,7,11,10,4,4,5,930.0,950,1995,4,2,3,0,0,0,237000.0,610.0,685.0,8
154,1885,70.0,7535,5,49,22,3,3,2,912.0,912,912,3,3,0,0,0,0,120000.0,297.0,111.0,5
155,1734,88.0,12216,6,2,2,3,4,5,1326.0,1326,1326,4,3,0,0,0,0,203000.0,388.0,918.0,6
156,2327,30.0,3701,8,19,19,3,4,3,1191.0,1204,1204,3,2,0,0,1,0,130000.0,461.0,0.0,5
157,1282,80.0,9760,6,44,44,3,3,3,780.0,798,1611,3,2,0,0,0,0,167900.0,442.0,674.0,7
158,2688,60.0,9873,4,36,36,3,3,3,960.0,960,960,3,1,0,0,0,0,129000.0,576.0,789.0,6
159,2581,72.0,10011,5,49,10,3,3,3,1070.0,1236,1236,4,1,2,0,0,0,134450.0,447.0,360.0,6
160,2067,69.05520046484602,25339,5,89,0,3,3,5,816.0,1416,1416,4,1,0,0,0,0,112000.0,576.0,0.0,7
161,2115,69.05520046484602,8883,7,19,19,4,4,5,929.0,946,1873,4,2,3,0,0,0,207000.0,619.0,608.0,7
162,754,50.0,3000,5,87,59,3,3,3,1040.0,1088,2128,3,0,0,0,0,0,62500.0,0.0,0.0,11
163,1079,36.0,2448,7,5,4,4,4,5,764.0,764,1626,4,2,0,0,1,0,154000.0,474.0,573.0,6
164,2615,73.0,7100,5,49,49,3,3,3,816.0,816,816,3,1,0,0,0,0,129900.0,308.0,708.0,5
165,329,36.0,2592,5,34,34,3,4,3,536.0,536,1112,3,1,0,0,0,0,85000.0,336.0,129.0,4
166,1320,69.05520046484602,5700,7,82,58,3,3,3,572.0,572,1111,3,1,4,0,0,0,116900.0,288.0,0.0,5
167,416,24.0,2289,6,31,31,3,3,3,855.0,855,1441,3,1,3,0,0,0,148500.0,440.0,311.0,7
168,284,60.0,12180,4,69,60,3,4,2,672.0,672,924,2,1,0,0,0,0,80000.0,280.0,348.0,5
169,1385,69.05520046484602,7400,5,24,24,3,4,3,1060.0,1126,1126,3,1,0,0,0,0,152000.0,506.0,104.0,5
170,275,68.0,8842,5,56,56,3,2,5,381.0,992,992,3,1,0,0,0,0,155891.0,319.0,0.0,6
171,2024,60.0,8850,6,87,57,3,3,5,768.0,752,1376,4,1,0,0,0,0,165000.0,576.0,0.0,7
172,68,92.0,9215,7,1,0,4,4,5,1218.0,1218,1218,4,2,0,0,0,0,204500.0,676.0,0.0,4
173,1910,79.0,9480,5,65,12,3,3,5,728.0,888,1644,4,1,4,0,0,0,146500.0,312.0,386.0,7
174,381,82.0,11880,7,31,31,3,4,3,1271.0,1601,1601,3,2,3,0,0,0,157000.0,478.0,704.0,7
175,1323,60.0,10800,7,118,9,3,3,4,1313.0,1313,2495,3,1,4,0,0,0,184000.0,342.0,0.0,10
176,2432,69.05520046484602,7861,6,4,3,4,4,5,783.0,807,1509,4,3,4,0,0,0,183200.0,393.0,457.0,7
177,777,69.05520046484602,11616,5,47,47,3,3,3,1092.0,1092,1092,3,1,1,0,0,0,139000.0,288.0,170.0,6
178,1107,96.0,10542,7,15,14,4,4,5,1311.0,1325,2418,4,2,3,0,1,0,341000.0,983.0,1173.0,9
179,30,21.0,1680,6,39,39,3,3,3,483.0,483,987,3,1,0,0,0,0,96000.0,264.0,156.0,5
180,282,80.0,8546,4,7,6,3,4,5,1121.0,1121,1121,3,2,0,0,0,0,140000.0,440.0,0.0,5
181,188,90.0,7407,6,53,14,3,3,3,912.0,1236,1236,3,1,0,0,0,0,149700.0,923.0,600.0,6
182,2356,78.0,10140,5,31,31,3,4,5,1056.0,1074,1074,3,2,0,0,0,0,153500.0,495.0,788.0,6
183,1554,80.0,14584,1,56,56,2,0,1,0.0,733,733,2,1,0,0,0,0,13100.0,487.0,0.0,4
184,1464,65.0,8158,7,5,5,4,4,5,884.0,884,1768,4,2,0,0,0,0,224900.0,543.0,550.0,8
185,2469,62.0,7500,7,1,1,4,4,5,1257.0,1266,1266,4,1,3,0,0,0,176000.0,453.0,0.0,6
186,1834,85.0,10678,8,15,7,4,4,5,1683.0,2129,2872,4,3,3,0,1,1,285000.0,541.0,700.0,9
187,1779,49.0,15256,8,0,0,4,4,5,1485.0,1464,1464,4,1,0,0,0,0,282922.0,754.0,929.0,6
188,2569,88.0,14200,7,40,40,3,3,5,924.0,1216,2157,4,3,4,0,0,0,226000.0,487.0,445.0,8
189,2334,82.0,12438,8,0,0,5,5,5,1234.0,1264,2576,5,3,4,0,1,0,361919.0,666.0,0.0,10
190,2330,59.0,16023,9,1,0,4,5,5,1398.0,1414,2798,5,3,4,0,1,1,457347.0,670.0,1218.0,11
191,2119,155.0,20064,8,31,31,4,4,5,966.0,1743,1743,4,3,2,0,0,0,279000.0,529.0,51.0,5
192,988,69.05520046484602,9819,6,32,32,3,3,3,1567.0,1567,1567,4,2,3,0,0,0,196000.0,714.0,1567.0,5
193,382,80.0,10400,7,33,33,3,4,3,1090.0,1370,1370,3,2,3,0,0,0,152000.0,479.0,0.0,6
194,670,91.0,11643,5,40,40,3,3,3,1248.0,1338,2634,3,1,0,0,0,1,200000.0,968.0,500.0,12
195,2760,78.0,11645,8,1,0,4,5,5,1570.0,1590,1590,5,3,0,0,0,0,294900.0,754.0,1122.0,6
196,543,61.0,7328,7,1,0,4,4,5,1450.0,1450,1450,4,2,0,0,0,0,224243.0,788.0,0.0,6
197,2835,72.0,7822,6,91,56,3,2,3,832.0,846,1338,3,1,0,0,0,0,92000.0,528.0,0.0,7
198,1735,65.0,9018,7,0,0,4,4,5,728.0,728,1456,4,3,4,0,0,0,179540.0,400.0,0.0,8
199,448,103.0,13472,10,6,6,5,5,5,2392.0,2392,2392,5,3,5,1,1,0,386250.0,968.0,56.0,8
200,2287,69.05520046484602,1533,4,37,37,3,4,3,530.0,530,992,3,3,0,0,0,0,106500.0,297.0,503.0,4
201,524,85.0,11003,10,1,1,5,5,5,1017.0,1026,2007,5,3,5,0,0,0,310000.0,812.0,765.0,10
202,1767,83.0,10790,7,9,9,4,4,5,1066.0,1108,2385,4,3,3,0,1,0,252000.0,600.0,0.0,8
203,2206,53.0,7128,7,66,57,3,3,4,918.0,918,1646,3,1,4,0,0,0,164000.0,240.0,364.0,7
204,1740,64.0,7713,7,0,0,4,4,5,728.0,728,1456,4,3,0,0,0,0,177594.0,400.0,0.0,7
205,199,52.0,6240,5,74,30,3,3,4,528.0,548,1040,3,3,0,0,0,0,123900.0,624.0,276.0,5
206,2214,86.0,22420,6,89,57,3,4,3,1370.0,1370,2624,3,1,4,0,0,1,239000.0,864.0,1128.0,10
207,323,85.0,15300,5,45,33,3,3,3,1068.0,1264,1264,3,1,3,0,0,0,169000.0,528.0,42.0,7
208,2421,69.05520046484602,3196,7,3,2,4,4,5,1374.0,1557,1557,4,3,3,0,0,0,234000.0,420.0,0.0,7
209,952,72.0,9360,6,32,32,3,4,3,957.0,1287,1287,3,2,2,0,0,0,173000.0,541.0,841.0,5
210,24,69.05520046484602,11241,6,40,40,3,3,5,1004.0,1004,1004,3,3,3,0,0,0,149000.0,480.0,578.0,5
211,1139,81.0,9260,7,1,1,4,4,5,1162.0,1162,1162,4,3,0,0,0,0,170000.0,483.0,0.0,6
212,518,90.0,7993,7,1,0,4,5,5,1436.0,1436,1436,4,3,0,0,0,0,225000.0,529.0,0.0,6
213,1390,94.0,9239,5,45,5,3,3,5,960.0,960,960,4,3,0,0,0,0,144900.0,300.0,634.0,6
214,277,60.0,10044,5,42,42,3,4,3,1196.0,1196,1196,3,2,0,0,0,0,144000.0,336.0,1070.0,6
215,54,43.0,3182,8,6,5,4,4,5,1256.0,1269,1269,4,3,3,0,0,0,192000.0,430.0,24.0,6
216,649,60.0,7626,5,57,4,4,3,4,1031.0,1031,1031,4,1,0,0,0,0,145500.0,230.0,931.0,5
217,2600,60.0,7008,4,106,8,3,2,5,448.0,448,720,2,1,0,0,0,0,86900.0,280.0,0.0,5
218,617,128.0,12160,6,56,56,3,3,5,1505.0,1505,1505,3,2,3,0,0,0,149500.0,505.0,1024.0,6
219,2209,50.0,6305,5,69,57,3,2,5,920.0,954,954,2,1,4,0,0,0,119750.0,240.0,0.0,5
220,2814,68.0,8846,6,1,0,3,4,5,750.0,750,1500,4,2,0,0,0,0,173900.0,564.0,0.0,6
221,2542,69.05520046484602,10659,5,45,45,3,3,3,1050.0,1050,1050,3,1,0,0,0,0,136500.0,368.0,915.0,6
222,2323,68.0,13108,8,12,12,4,4,5,2062.0,2079,2687,4,3,0,1,1,1,270000.0,618.0,0.0,9
